displayName,height,weight,birthDate,collegeName,position,nflId
Desmond Trufant,72,190,9/10/90,Washington,CB,2539334
Robert Alford,70,186,11/1/88,Southeastern Louisiana,CB,2539653
Ricardo Allen,69,186,12/18/91,Purdue,SS,2543850
Deion Jones,73,227,11/4/94,Louisiana State,MLB,2555162
De'Vondre Campbell,75,232,7/1/93,Minnesota,OLB,2555255
Keanu Neal,73,216,7/26/95,Florida,FS,2555543
Brian Poole,70,211,10/20/92,Florida,CB,2556445
Mike Wallace,Jun-00,200,8/1/86,Mississippi,WR,2507763
Nick Foles,78,243,1/20/89,Arizona,QB,2532842
Zach Ertz,77,250,11/10/90,Stanford,TE,2540158
Jay Ajayi,Jun-00,223,6/15/93,Boise State,RB,2552582
Nelson Agholor,72,198,5/24/93,Southern California,WR,2552600
DeAndre Carter,68,190,4/10/93,Sacramento State,WR,2553502
Vic Beasley,75,246,7/8/92,Clemson,DE,2552301
Darren Sproles,66,190,6/20/83,Kansas State,RB,2506467
Duke Riley,73,230,8/9/94,Louisiana State,OLB,2557967
Damontae Kazee,71,190,6/5/93,San Diego State,SS,2558184
Dallas Goedert,77,256,1/3/95,South Dakota State,TE,2560995
Corey Clement,70,220,11/2/94,Wisconsin,RB,2559150
Matt Ryan,76,217,5/17/85,Boston College,QB,310
Julio Jones,75,220,2/8/89,Alabama,WR,2495454
Logan Paulsen,5-Jun,268,2/26/87,UCLA,TE,2507828
Tevin Coleman,73,210,4/16/93,Indiana,RB,2552453
Austin Hooper,76,254,10/29/94,Stanford,TE,2555415
Eric Saubert,77,253,5/1/94,Drake,TE,2558023
Malcolm Jenkins,72,204,12/20/87,Ohio State,SS,79848
Rodney McLeod,70,195,6/23/90,Virginia,FS,2534832
Jordan Hicks,73,236,6/27/92,Texas,MLB,2552315
Ronald Darby,71,193,1/2/94,Florida State,CB,2552689
Jalen Mills,72,191,4/6/94,Louisiana State,CB,2555383
Kamu Grugier-Hill,74,230,5/16/94,Eastern Illinois,OLB,2556363
Nate Gerry,74,230,2/23/95,Nebraska,LB,2558175
Devonta Freeman,68,206,3/15/92,Florida State,RB,2543583
Justin Hardy,70,192,12/18/91,East Carolina,WR,2552418
Marvin Hall,70,190,4/10/93,Washington,WR,2557034
Calvin Ridley,73,190,12/20/94,Alabama,WR,2560854
Sidney Jones,72,181,5/21/96,Washington,CB,2557958
Mohamed Sanu,74,215,8/22/89,Rutgers,WR,2533040
Corey Graham,Jun-00,196,7/25/85,New Hampshire,FS,2495613
Foye Oluokun,74,215,8/2/95,Yale,LB,2561132
Shelton Gibson,71,191,3/20/95,West Virginia,WR,2558258
Ricky Ortiz,72,233,4/15/94,Oregon State,FB,2559033
Deante Burton,74,205,7/12/94,Kansas State,CB,2559109
Markus Wheaton,11-May,185,2/7/91,Oregon State,WR,2539291
Rasul Douglas,74,209,8/29/95,West Virginia,CB,2558168
Wendell Smallwood,70,208,1/20/94,West Virginia,RB,2555461
LeSean McCoy,71,210,7/12/88,Pittsburgh,RB,79607
Charles Clay,75,246,2/13/89,Tulsa,TE,2495139
Jeremy Kerley,9-May,188,11/8/88,Texas Christian,WR,2495189
Kelvin Benjamin,5-Jun,245,2/5/91,Florida State,WR,2543471
Zay Jones,74,200,3/30/95,East Carolina,WR,2557863
